

New start of logging. Datetime: 2022.05.08_152423 
No;Datetime, dd/mm/yyyy hh:mm:ss;GPS Time, hhmmssddmmyy;Status;Antenna;Longitude;Latitude;Altitude, m;Speed, km/h;Course
1;'05/08/2022 15:24:23;'101738080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
2;'05/08/2022 15:24:24;'101739080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
3;'05/08/2022 15:24:25;'101740080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
4;'05/08/2022 15:24:26;'101741080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
5;'05/08/2022 15:24:27;'101742080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
6;'05/08/2022 15:24:28;'101743080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
7;'05/08/2022 15:24:29;'101744080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
8;'05/08/2022 15:24:30;'101745080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
9;'05/08/2022 15:24:31;'101746080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
10;'05/08/2022 15:24:32;'101747080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
11;'05/08/2022 15:24:33;'101747080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
12;'05/08/2022 15:24:34;'101748080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
13;'05/08/2022 15:24:35;'101750080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
14;'05/08/2022 15:24:35;'101751080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
15;'05/08/2022 15:24:36;'101752080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
16;'05/08/2022 15:24:37;'101753080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
17;'05/08/2022 15:24:38;'101754080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
18;'05/08/2022 15:24:39;'101755080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
19;'05/08/2022 15:24:40;'101756080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
20;'05/08/2022 15:24:41;'101757080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
21;'05/08/2022 15:24:42;'101758080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
22;'05/08/2022 15:24:43;'101759080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
23;'05/08/2022 15:24:44;'101800080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
24;'05/08/2022 15:24:45;'101801080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
25;'05/08/2022 15:24:46;'101802080522;NOF;OK;0,0000000;0,00000;0,0;0,00;0,0
