

New start of logging. Datetime: 2022.05.08_152302 
Datetime, dd/mm/yyyy hh:mm:ss;HDC TEMP, `C;HDC HUM, %;LPS PRESS, hPa;LPS TEMP, `C;LSM TEMP, `C;LSM AX, mg;LSM AY, mg;LSM AZ, mg;LSM GX;LSM GY;LSM GZ;PM2.5;PM10;EXT_TEMP, `C;BATT, V;VSYS, V
'05/08/2022 15:23:02;-40,0;99;0,0;0,0;-35,7;82,3;-22,2;792,9;1750,0;4760,0;70,0;81,8;997,6;-100,0;2,66;0,01
'05/08/2022 15:23:03;-40,0;99;0,0;0,0;-35,7;82,3;-22,2;792,9;1750,0;4760,0;70,0;127,9;1749,8;-100,0;2,66;0,01
'05/08/2022 15:23:04;-27,9;0;0,0;0,0;-35,4;97,1;-27,0;926,0;-5670,0;-2170,0;1680,0;105,3;1504,9;-100,0;2,86;0,01
'05/08/2022 15:23:05;-27,8;0;0,0;0,0;-35,2;105,8;-26,8;1009,4;560,0;-2940,0;-210,0;79,0;1128,7;-100,0;2,81;0,01
'05/08/2022 15:23:06;-27,8;0;0,0;0,0;-35,2;101,6;-23,5;988,7;3080,0;1680,0;840,0;63,2;902,9;-100,0;2,79;0,01
'05/08/2022 15:23:07;-27,8;0;0,0;0,0;-35,2;95,0;-22,3;940,8;-3570,0;-1610,0;1540,0;52,6;752,4;-100,0;2,85;0,01
'05/08/2022 15:23:08;-27,8;0;0,0;0,0;-35,2;99,7;-24,1;977,6;-5740,0;-4270,0;1400,0;45,1;644,9;-100,0;2,76;0,01
'05/08/2022 15:23:09;-27,8;0;0,0;0,0;-35,1;101,5;-22,5;999,5;6930,0;4270,0;-70,0;39,5;564,3;-100,0;2,78;0,01
'05/08/2022 15:23:10;-27,7;0;0,0;0,0;-35,1;106,8;-24,5;1036,4;5460,0;2800,0;-630,0;35,1;501,6;-100,0;2,85;0,01
'05/08/2022 15:23:11;-27,7;0;0,0;0,0;-35,1;109,4;-28,1;1045,2;-7770,0;-5950,0;1540,0;31,6;451,4;-100,0;2,75;0,01
'05/08/2022 15:23:12;-27,6;0;0,0;0,0;-35,0;105,0;-26,4;1003,3;-4690,0;4620,0;980,0;28,7;410,4;-100,0;2,88;0,01
'05/08/2022 15:23:13;-27,6;0;0,0;0,0;-34,9;101,8;-23,4;977,3;8190,0;7210,0;1050,0;26,3;376,2;-100,0;2,83;0,01
'05/08/2022 15:23:14;-27,5;0;0,0;0,0;-34,9;107,9;-26,5;1015,5;700,0;-4760,0;-1190,0;24,3;347,2;-100,0;2,83;0,01
'05/08/2022 15:23:14;-27,5;0;0,0;0,0;-34,9;108,5;-28,5;1028,6;-8190,0;-3990,0;560,0;22,5;322,4;-100,0;2,79;0,01
'05/08/2022 15:23:15;-27,5;0;0,0;0,0;-34,8;109,5;-27,6;1057,9;910,0;6860,0;350,0;21,0;300,9;-100,0;2,89;0,01
'05/08/2022 15:23:16;-27,5;0;0,0;0,0;-34,9;100,3;-23,4;985,8;6790,0;-2870,0;-490,0;19,7;282,1;-100,0;2,79;0,01
'05/08/2022 15:23:17;-27,4;0;0,0;0,0;-34,8;100,7;-26,1;983,6;-5950,0;-13510,0;210,0;18,5;265,5;-100,0;2,82;0,01
'05/08/2022 15:23:18;-27,4;0;0,0;0,0;-34,8;101,4;-26,2;1009,8;-5600,0;6230,0;-140,0;17,5;250,8;-100,0;2,85;0,01
'05/08/2022 15:23:19;-27,3;0;0,0;0,0;-34,7;104,2;-24,8;1025,3;5880,0;9450,0;-1050,0;16,6;237,6;-100,0;2,93;0,01
'05/08/2022 15:23:20;-27,3;0;0,0;0,0;-34,7;109,3;-26,3;1040,9;2450,0;-10080,0;-1260,0;15,8;225,7;-100,0;2,83;0,01
'05/08/2022 15:23:21;-27,3;0;0,0;0,0;-34,7;105,2;-27,6;1000,3;-2030,0;-1190,0;-140,0;15,0;214,9;-100,0;2,91;0,01
'05/08/2022 15:23:22;-27,3;0;0,0;0,0;-34,6;99,2;-26,5;962,2;-3570,0;9450,0;630,0;14,3;205,2;-100,0;2,86;0,01
'05/08/2022 15:23:23;-27,2;0;0,0;0,0;-34,6;103,6;-26,2;987,8;1890,0;1260,0;350,0;13,7;196,2;-100,0;2,89;0,01
'05/08/2022 15:23:24;-27,2;0;0,0;0,0;-34,5;108,2;-26,3;1019,3;3570,0;-8190,0;-2100,0;13,1;188,1;-100,0;2,82;0,01
'05/08/2022 15:23:25;-27,1;0;0,0;0,0;-34,5;111,4;-28,5;1067,9;-2800,0;210,0;700,0;12,6;180,5;-100,0;2,86;0,01
