date, pm25
2022/5/1, 83
2022/5/2, 90
2022/5/3, 85
2022/5/4, 71
2022/5/5, 60
2022/5/6, 80
2022/5/7, 68
2022/5/8, 78
2022/5/9, 107
2022/5/10, 74
2022/5/11, 72
2022/5/12, 82
2022/5/13, 81
2022/5/14, 78
2022/5/15, 73
2022/5/16, 90
2022/5/17, 86
2022/5/18, 88
2022/5/19, 66
2022/4/1, 77
2022/4/2, 93
2022/4/3, 98
2022/4/4, 89
2022/4/5, 86
2022/4/6, 86
2022/4/7, 95
2022/4/8, 95
2022/4/9, 117
2022/4/10, 128
2022/4/11, 118
2022/4/12, 126
2022/4/13, 107
2022/4/14, 98
2022/4/15, 113
2022/4/21, 105
2022/4/22, 93
2022/4/23, 84
2022/4/24, 122
2022/4/26, 97
2022/4/27, 74
2022/4/28, 84
2022/4/29, 92
2022/4/30, 96
2022/3/1, 83
2022/3/2, 106
2022/3/3, 93
2022/3/4, 91
2022/3/5, 107
2022/3/6, 97
2022/3/7, 83
2022/3/8, 86
2022/3/9, 86
2022/3/10, 70
2022/3/11, 75
2022/3/12, 62
2022/3/13, 77
2022/3/14, 102
2022/3/15, 77
2022/3/16, 87
2022/3/17, 87
2022/3/18, 59
2022/3/19, 87
2022/3/20, 121
2022/3/21, 126
2022/3/22, 93
2022/3/23, 69
2022/3/24, 101
2022/3/25, 85
2022/3/26, 83
2022/3/27, 93
2022/3/28, 109
2022/3/29, 89
2022/3/30, 81
2022/3/31, 88
2022/2/1, 96
2022/2/2, 104
2022/2/3, 142
2022/2/4, 83
2022/2/5, 126
2022/2/6, 88
2022/2/7, 79
2022/2/8, 110
2022/2/9, 99
2022/2/10, 71
2022/2/11, 77
2022/2/12, 83
2022/2/13, 89
2022/2/14, 110
2022/2/15, 92
2022/2/16, 128
2022/2/17, 98
2022/2/18, 76
2022/2/19, 71
2022/2/20, 86
2022/2/21, 88
2022/2/22, 120
2022/2/23, 141
2022/2/24, 125
2022/2/25, 121
2022/2/26, 140
2022/2/27, 85
2022/2/28, 95
2022/1/3, 66
2022/1/4, 82
2022/1/5, 81
2022/1/6, 116
2022/1/7, 64
2022/1/8, 131
2022/1/9, 115
2022/1/10, 137
2022/1/11, 142
2022/1/12, 108
2022/1/13, 132
2022/1/14, 71
2022/1/15, 72
2022/1/16, 82
2022/1/17, 88
2022/1/18, 103
2022/1/19, 77
2022/1/20, 80
2022/1/21, 101
2022/1/22, 103
2022/1/23, 82
2022/1/24, 129
2022/1/25, 119
2022/1/26, 154
2022/1/27, 83
2022/1/28, 110
2022/1/29, 99
2022/1/30, 124
2022/1/31, 131
2021/10/1, 66
2021/10/2, 79
2021/10/3, 104
2021/10/4, 126
2021/10/5, 133
2021/10/6, 132
2021/10/7, 148
2021/10/8, 149
2021/10/9, 95
2021/10/10, 99
2021/10/11, 112
2021/10/12, 109
2021/10/13, 139
2021/10/14, 140
2021/10/15, 138
2021/10/16, 141
2021/10/17, 141
2021/10/18, 144
2021/10/19, 159
2021/10/20, 162
2021/10/21, 91
2021/10/22, 78
2021/10/23, 111
2021/10/24, 140
2021/10/25, 150
2021/10/26, 150
2021/10/27, 143
2021/10/28, 98
2021/10/29, 80
2021/10/30, 119
2021/10/31, 130
2021/11/1, 138
2021/11/2, 120
2021/11/3, 141
2021/11/4, 131
2021/11/5, 629
2021/11/6, 412
2021/11/7, 265
2021/11/8, 182
2021/11/9, 179
2021/11/10, 172
2021/11/12, 163
2021/11/13, 170
2021/11/16, 91
2021/11/17, 208
2021/11/18, 125
2021/11/19, 145
2021/11/20, 159
2021/11/21, 125
2021/11/22, 134
2021/11/23, 132
2021/11/24, 155
2021/11/25, 140
2021/11/26, 74
2021/11/27, 96
2021/11/28, 133
2021/11/29, 128
2021/11/30, 124
2021/12/1, 76
2021/12/2, 75
2021/12/3, 142
2021/12/4, 180
2021/12/5, 155
2021/12/6, 170
2021/12/7, 163
2021/12/8, 186
2021/12/9, 180
2021/12/10, 154
2021/12/11, 156
2021/12/12, 169
2021/12/13, 138
2021/12/14, 62
2021/12/15, 79
2021/12/16, 120
2021/12/17, 163
2021/12/18, 128
2021/12/19, 113
2021/12/20, 89
2021/12/21, 60
2021/12/22, 120
2021/12/23, 105
2021/12/24, 125
2021/12/25, 121
2021/12/26, 84
2021/12/27, 130
2021/12/28, 136
2021/12/29, 135
2021/12/30, 151
2021/12/31, 95
2022/1/1, 99
2022/1/2, 106
2021/7/1, 83
2021/7/2, 88
2021/7/3, 87
2021/7/4, 83
2021/7/5, 104
2021/7/6, 104
2021/7/7, 98
2021/7/8, 117
2021/7/9, 152
2021/7/10, 137
2021/7/11, 139
2021/7/12, 178
2021/7/13, 119
2021/7/14, 111
2021/7/15, 97
2021/7/16, 94
2021/7/17, 105
2021/7/18, 106
2021/7/19, 98
2021/7/20, 95
2021/7/21, 96
2021/7/22, 78
2021/7/23, 84
2021/7/24, 83
2021/7/25, 94
2021/7/26, 90
2021/7/27, 101
2021/7/28, 124
2021/7/29, 92
2021/7/30, 75
2021/7/31, 87
2021/8/1, 102
2021/8/2, 99
2021/8/3, 88
2021/8/4, 125
2021/8/5, 86
2021/8/6, 92
2021/8/7, 93
2021/8/8, 115
2021/8/9, 156
2021/8/10, 99
2021/8/11, 136
2021/8/12, 132
2021/8/13, 110
2021/8/14, 107
2021/8/15, 99
2021/8/16, 114
2021/8/17, 126
2021/8/18, 131
2021/8/19, 135
2021/8/20, 131
2021/8/21, 128
2021/8/22, 127
2021/8/23, 137
2021/8/24, 119
2021/8/25, 93
2021/8/26, 98
2021/8/27, 87
2021/8/28, 95
2021/8/29, 98
2021/8/30, 97
2021/8/31, 107
2021/9/1, 87
2021/9/2, 76
2021/9/3, 94
2021/9/4, 110
2021/9/5, 99
2021/9/6, 110
2021/9/7, 112
2021/9/8, 101
2021/9/9, 85
2021/9/10, 98
2021/9/11, 90
2021/9/12, 72
2021/9/13, 83
2021/9/14, 97
2021/9/15, 104
2021/9/16, 92
2021/9/17, 95
2021/9/18, 98
2021/9/19, 104
2021/9/20, 103
2021/9/21, 117
2021/9/22, 107
2021/9/23, 83
2021/9/24, 87
2021/9/25, 113
2021/9/26, 109
2021/9/27, 148
2021/9/28, 147
2021/9/29, 113
2021/9/30, 94
2021/4/1, 62
2021/4/2, 102
2021/4/3, 91
2021/4/4, 101
2021/4/5, 115
2021/4/6, 106
2021/4/7, 108
2021/4/8, 82
2021/4/9, 81
2021/4/10, 86
2021/4/11, 100
2021/4/12, 89
2021/4/13, 139
2021/4/14, 83
2021/4/15, 95
2021/4/16, 103
2021/4/17, 84
2021/4/18, 107
2021/4/19, 82
2021/4/20, 108
2021/4/21, 61
2021/4/22, 87
2021/4/23, 93
2021/4/24, 96
2021/4/25, 76
2021/4/26, 85
2021/4/27, 78
2021/4/28, 72
2021/4/29, 94
2021/4/30, 89
2021/5/1, 81
2021/5/2, 92
2021/5/3, 73
2021/5/4, 97
2021/5/5, 113
2021/5/9, 78
2021/5/10, 76
2021/5/11, 92
2021/5/12, 74
2021/5/13, 73
2021/5/14, 77
2021/5/15, 85
2021/5/16, 94
2021/5/17, 85
2021/5/18, 79
2021/5/19, 85
2021/5/20, 69
2021/5/21, 63
2021/5/22, 75
2021/5/23, 84
2021/5/24, 93
2021/5/25, 95
2021/5/26, 82
2021/5/27, 76
2021/5/28, 73
2021/5/29, 76
2021/5/30, 71
2021/5/31, 69
2021/6/1, 82
2021/6/2, 81
2021/6/3, 81
2021/6/4, 81
2021/6/5, 77
2021/6/7, 125
2021/6/8, 119
2021/6/9, 96
2021/6/10, 83
2021/6/11, 82
2021/6/12, 82
2021/6/13, 90
2021/6/14, 85
2021/6/15, 101
2021/6/16, 94
2021/6/17, 75
2021/6/18, 87
2021/6/19, 97
2021/6/20, 86
2021/6/21, 97
2021/6/22, 89
2021/6/23, 90
